number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_optimizer,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_mae,user_attrs_model_params,state
92,1558.3668212890625,2026-03-24 00:41:47.997345,2026-03-24 00:41:57.840953,0 days 00:00:09.843608,64,0.01136102004960551,0.079558330887037,5,24,51,17.0,41.0,55.0,,RMSprop,6.82368074381292e-05,52.0,1558.3668212890625,5855.0,COMPLETE
93,1574.5693359375,2026-03-24 00:41:57.858431,2026-03-24 00:42:08.049596,0 days 00:00:10.191165,64,0.007282139213105951,0.08231173188776983,5,37,49,23.0,51.0,42.0,,RMSprop,0.0001320950776444355,53.0,1574.5693359375,7200.0,COMPLETE
94,1641.191162109375,2026-03-24 00:42:08.068870,2026-03-24 00:42:16.352207,0 days 00:00:08.283337,64,0.009895361762186517,0.08441263186038474,5,28,54,22.0,46.0,46.0,,RMSprop,0.00016238274013150072,29.0,1641.191162109375,6687.0,COMPLETE
95,2077.5009765625,2026-03-24 00:42:16.369274,2026-03-24 00:42:24.433075,0 days 00:00:08.063801,16,0.012180506509731015,0.07557605929489071,5,64,46,25.0,51.0,56.0,,SGD,0.000103897098165775,,,,PRUNED
96,1535.718505859375,2026-03-24 00:42:24.449882,2026-03-24 00:42:42.464091,0 days 00:00:18.014209,64,0.04901431625013749,0.07930801178787768,5,32,48,15.0,38.0,37.0,,SGD,5.3088338475797924e-05,198.0,1535.718505859375,5036.0,COMPLETE
97,1484.4906005859375,2026-03-24 00:42:42.486132,2026-03-24 00:42:53.312772,0 days 00:00:10.826640,64,0.044985453692541116,0.0859958503113495,5,22,51,20.0,43.0,42.0,,SGD,6.133900915642816e-05,101.0,1484.4906005859375,5561.0,COMPLETE
98,1345.0625,2026-03-24 00:42:53.330909,2026-03-24 00:43:13.929963,0 days 00:00:20.599054,64,0.014384404965905175,0.07286578372504654,5,25,53,25.0,36.0,48.0,,SGD,7.209644176778899e-05,220.0,1345.0625,6088.0,COMPLETE
99,1489.40673828125,2026-03-24 00:43:13.954217,2026-03-24 00:43:30.211267,0 days 00:00:16.257050,64,0.0057565472762232004,0.06811199257637195,5,24,60,27.0,36.0,49.0,,Adam,7.200756002823765e-05,133.0,1489.40673828125,6626.0,COMPLETE
100,1427.4688720703125,2026-03-24 00:43:30.228337,2026-03-24 00:43:42.839238,0 days 00:00:12.610901,64,0.01652767906168434,0.07705018862282566,5,29,56,25.0,50.0,55.0,,SGD,5.627868904919109e-05,111.0,1427.4688720703125,7957.0,COMPLETE
101,1446.6158447265625,2026-03-24 00:43:42.862664,2026-03-24 00:43:57.013904,0 days 00:00:14.151240,64,0.01468994030433974,0.07393304959390985,5,32,53,21.0,33.0,49.0,,SGD,8.742039065839105e-05,137.0,1446.6158447265625,5989.0,COMPLETE
